ID	Assembly_ID	Diversity Set: 447	Selection Set: 369	Population group in Selection analyses	See KING_relatives_allchr if not 0	Sex	Y chr haplogroup	Population	location	Country_of_origin	Continent_region_of_origin	Subregion	Language group	comment	x (rounded for privacy reasons)	y (rounded for privacy reasons)	sample_type	CG_metrics	Unusual_metrics_Junctions	Unusual_metrics_MEIs	Unusual_metrics_SVs	Unusual_metrics_RepeatRegionSNPs	Unusual_metrics_CNVs	publication	dbSNP_version	CG-software version	CG-software format version	ID_chipdata	ID_chipdata_from_data	ID_chipdata_chip_duplicate or pedigree ID for estonians	CG_Sample_ID	Deliverable_ID	Assembly_ID	diversity and selection	approximate #  makers on chip	Illumina bead chip version
Balkar2	GS000016171-ASM	1	0		0	male	R1a2d	Balkars	Kabardino_Bakaria_Novaja-Balkarija	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		43.7	44.2	blood	normal						this study	135	2.2.0.26	2.2	balkar2_1m	balkar2_1m		GS01562-DNA_A04	GS000020383-DID	GS000016171-ASM	TRUE	1 000 000	HumanOmni1-Quad
Cirkas1	GS000013740-ASM	1	0		0	female		Circassians	Karachay_Cherkessia_Cherkessk	Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		44.2	42.1	blood	normal						this study	135	2.2.0.26	2.2	cirkassian1_1m	cirkassian1_1m		GS01567-DNA_C08	GS000018415-DID	GS000013740-ASM	TRUE	1 000 000	HumanOmni1-Quad
Cirkas2	GS000035113-ASM	1	0		0	male	R1a1d	Circassians		Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		44.7	40	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_E05	GS000035478-DID	GS000035113-ASM	TRUE		
Cirkas3	GS000035114-ASM	1	0		0	male	R1a2d	Circassians		Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		44.7	40	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_F05	GS000035479-DID	GS000035114-ASM	TRUE		
Georg1	GS000035150-ASM	1	0		0	male	I3	Georgians	Abkhazia	Georgia	Caucasus	South_Caucasus	Kartvelian	approximate location (Abkhazia)	43	41.4	blood	normal						this study	137	2.4.0.43	2.4	georgian_V45289	georgian_V45289		GS01548-DNA_H04	GS000035473-DID	GS000035150-ASM	TRUE	1 000 000	HumanOmni1-Quad
Georg2	GS000035685-ASM	1	0		0	male	J2a4	Georgians		Georgia	Caucasus	South_Caucasus	Kartvelian	Imeretins	41.8	44.7	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_D05	GS000035477-DID	GS000035685-ASM	TRUE		
Kabard1	GS000014411-ASM	1	0		0	female		Kabardins	Kabardino_Bakaria_Nalchik	Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		43.5	43.6	blood	Unusal_metrics	1	1	1	1	1	this study	135	2.2.0.26	2.2	kabardin1_1m	kabardin1_1m		GS01567-DNA_E07	GS000018409-DID	GS000014411-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kabard2	GS000014412-ASM	1	0		0	female		Kabardins	Kabardino_Bakaria_Zajukovo	Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		43.6	43.3	blood	normal						this study	135	2.2.0.26	2.2	kabardin2_1m	kabardin2_1m		GS01567-DNA_F07	GS000018410-DID	GS000014412-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kabard4	GS000014413-ASM	1	0		0	male	G2a2	Kabardins	Kabardino_Bakaria_Nalchik	Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		43.5	43.6	blood	normal						this study	135	2.2.0.26	2.2	kabardin4_1m	kabardin4_1m		GS01567-DNA_G07	GS000018411-DID	GS000014413-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kabard3	GS000035115-ASM	1	0		0	male	J2a9	Kabardins		Russia	Caucasus	North_Caucasus	Northwest-Caucasian/Adyghe		43.6	43.4	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_G05	GS000035480-DID	GS000035115-ASM	TRUE		
Kumk1	GS000014370-ASM	1	0		0	female		Kumyks	Dagestan_Karabudakhkentsky	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		42.7	47.6	blood	normal						this study	135	2.2.0.26	2.2	kumyk13_1m	kumyk13_1m		GS01567-DNA_E06	GS000018401-DID	GS000014370-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kumk3	GS000014404-ASM	1	0		0	female		Kumyks	Dagestan_Khasavyurt	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		43.3	46.6	blood	normal						this study	135	2.2.0.26	2.2	kumyk14_1m	kumyk14_1m		GS01567-DNA_F06	GS000018402-DID	GS000014404-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kumk2	GS000014368-ASM	1	0		0	male	J1a1	Kumyks	Dagestan_Makhachkala	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		43	47.5	blood	normal						this study	135	2.2.0.26	2.2	kumyk11_1m	kumyk11_1m		GS01567-DNA_D06	GS000018400-DID	GS000014368-ASM	TRUE	1 000 000	HumanOmni1-Quad
Lezg1	GS000014365-ASM	1	0		0	female		Lezgins	Dagestan_Dzhaba	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		41.4	47.8	blood	Unusal_metrics	1	1	1	1	1	this study	135	2.2.0.26	2.2	lezgin8_1m	lezgin8_1m		GS01567-DNA_A06	GS000018397-DID	GS000014365-ASM	TRUE	1 000 000	HumanOmni1-Quad
Lezg2	GS000013724-ASM	1	0		0	male	J1a2	Lezgins	Dagestan_Kujsun	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		41.6	48.3	blood	normal						this study	135	2.2.0.26	2.2	lezgin19_1m	lezgin19_1m		GS01567-DNA_B06	GS000018398-DID	GS000013724-ASM	TRUE	1 000 000	HumanOmni1-Quad
Lezg3	GS000014366-ASM	1	0		0	male	G2a1	Lezgins	Dagestan_Makhachkala	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		43	47.5	blood	normal						this study	135	2.2.0.26	2.2	lezgin20_1m	lezgin20_1m		GS01567-DNA_C06	GS000018399-DID	GS000014366-ASM	TRUE	1 000 000	HumanOmni1-Quad
Lezg4	GS000035243-ASM	1	0		0	female		Lezgins	Dagestan_Kabir	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic	Both parents from the same village	41.6	48	blood	normal						this study	137	2.4.0.43	2.4	lez17	lez17		GS01548-DNA_G11	GS000035528-DID	GS000035243-ASM	TRUE	610 000	Human610-Quad v 1.0
NOsset2	GS000014414-ASM	1	0		0	male	G2a1	North-Ossetians	North_Ossetia_Chikola_Lesken	Russia	Caucasus	North_Caucasus	Indo-European/Indo-Iranian/Iranian/Eastern		43.2	43.9	blood	normal						this study	135	2.2.0.26	2.2	ossetian2_1m	ossetian2_1m		GS01567-DNA_A08	GS000018413-DID	GS000014414-ASM	TRUE	1 000 000	HumanOmni1-Quad
NOsset6	GS000013739-ASM	1	0		0	male	G2a1	North-Ossetians	North_Ossetia_Novyy-Batako	Russia	Caucasus	North_Caucasus	Indo-European/Indo-Iranian/Iranian/Eastern	fathr from Nalchik	43.2	44.5	blood	normal						this study	135	2.2.0.26	2.2	ossetian6_1m	ossetian6_1m		GS01567-DNA_B08	GS000018414-DID	GS000013739-ASM	TRUE	1 000 000	HumanOmni1-Quad
Tabas5	GS000014363-ASM	1	0		0	female		Tabasarans	Dagestan_Jagdyg	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		42	48	blood	normal						this study	135	2.2.0.26	2.2	tabassaran5_1m	tabassaran5_1m		GS01567-DNA_G05	GS000018395-DID	GS000014363-ASM	TRUE	1 000 000	HumanOmni1-Quad
Tabas4	GS000014421-ASM	1	0		0	male	J1a1	Tabasarans	Dagestan_Pilig	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		42	47.9	blood	normal						this study	135	2.2.0.26	2.2	tabassaran4_1m	tabassaran4_1m		GS01567-DNA_F05	GS000018394-DID	GS000014421-ASM	TRUE	1 000 000	HumanOmni1-Quad
Tabas17	GS000014364-ASM	1	0		0	male	R1b11	Tabasarans	Dagestan_Makhachkala	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Lezgic		43	47.5	blood	normal						this study	135	2.2.0.26	2.2	tabassaran17_1m	tabassaran17_1m		GS01567-DNA_H05	GS000018396-DID	GS000014364-ASM	TRUE	1 000 000	HumanOmni1-Quad
Ishk1	GS000016189-ASM	1	0		0	male	R1a2b	Ishkasim	Pamir_Ishkashim	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Southeastern	>2000	37	71.7	blood	normal						this study	135	2.2.0.26	2.2	TJ862_ishkasim	TJ862_ishkasim		GS01562-DNA_G06	GS000020404-DID	GS000016189-ASM	TRUE	1 000 000	HumanOmni1-Quad
Ishk2	GS000016196-ASM	1	0		0	male	R1a2	Ishkasim	Pamir_Ishkashim	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Southeastern	>2000	37	71.7	blood	normal						this study	135	2.2.0.26	2.2	TJ961_ishkashim	TJ961_ishkashim		GS01562-DNA_G07	GS000020411-DID	GS000016196-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kaz1	GS000014415-ASM	1	0		0	male	R1a2b	Kazakhs	Cent-West	Kazakhstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	approx	47.5	61.5	blood	normal						this study	135	2.2.0.26	2.2	LPGH119kazakh_cw	LPGH119kazakh_cw		GS01567-DNA_H09	GS000018428-DID	GS000014415-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kaz2	GS000013752-ASM	1	0		0	male	C3h	Kazakhs	Tien-Shan	Kazakhstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	approx	43.6	77	blood	normal						this study	135	2.2.0.26	2.2	LHPG120_kazakhTienShan	LHPG120_kazakhTienShan		GS01567-DNA_G09	GS000018427-DID	GS000013752-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kaz3	GS000035127-ASM	1	0		0	male	N3a5	Kazakhs		Kazakhstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay		51.1	71.5	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_E11	GS000035526-DID	GS000035127-ASM	TRUE		
Kyrgz1	GS000016177-ASM	1	0		0	male	J2a8	Kyrgyz	Ton(g)	Kyrgyzstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	Mother from Tyup; Father from Temir. 	42.2	77	blood	Unusal_metrics	1	1	0	0	0	this study	135	2.2.0.26	2.2	kirghiz1_1m	kirghiz1_1m		GS01562-DNA_G04	GS000020389-DID	GS000016177-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kyrgz2	GS000016191-ASM	1	0		0	male	R1a2c	Kyrgyz	Naryn_Province	Kyrgyzstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	is it correct	41.5	75.9	blood	normal						this study	135	2.2.0.26	2.2	KGZ069_kirghiz	KGZ069_kirghiz		GS01562-DNA_A07	GS000020406-DID	GS000016191-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kyrgz3	GS000016197-ASM	1	0		0	male	R1a2c	Kyrgyz	Naryn_Province	Kyrgyzstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay		41.5	75.9	blood	normal						this study	135	2.2.0.26	2.2	KGZ003_kirghizTienShan	KGZ003_kirghizTienShan		GS01562-DNA_H07	GS000020412-DID	GS000016197-ASM	TRUE	1 000 000	HumanOmni1-Quad
Kyrgz4	GS000013757-ASM	1	0		0	male	R1a2c	Kyrgyz	Naryn_Province	Kyrgyzstan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	is it correct	41.5	75.9	blood	normal						this study	135	2.2.0.26	2.2	KGZ067_kirgiz_TienShan	KGZ067_kirgiz_TienShan		GS01567-DNA_E10	GS000018433-DID	GS000013757-ASM	TRUE	1 000 000	HumanOmni1-Quad
KyrgzTJ1	GS000016193-ASM	1	0		0	male	R1a2a	Kyrgyz_Tdj	Alichur	Tajikistan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	3880m	37.8	73.3	blood	normal						this study	135	2.2.0.26	2.2	tdj0802_kirghiz_alitshor	tdj0802_kirghiz_alitshor		GS01562-DNA_C07	GS000020408-DID	GS000016193-ASM	TRUE	1 000 000	HumanOmni1-Quad
KyrgzTJ2	GS000016187-ASM	1	0		0	male	R1a2a	Kyrgyz_Tdj	Murgab	Tajikistan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	>3500m	38.2	74	blood	normal						this study	135	2.2.0.26	2.2	tdj0011_kirghiz_murgab	tdj0011_kirghiz_murgab		GS01562-DNA_E06	GS000020402-DID	GS000016187-ASM	TRUE	1 000 000	HumanOmni1-Quad
KyrgzTJ3	GS000016195-ASM	1	0		0	male	R1a2a	Kyrgyz_Tdj	Murgab	Tajikistan	Central Asia		Altaic/Turkic/Kipchak/Kazakh–Nogay	>3500m	38.2	74	blood	normal						this study	135	2.2.0.26	2.2	tdj0635_kirghiz_murgab	tdj0635_kirghiz_murgab		GS01562-DNA_F07	GS000020410-DID	GS000016195-ASM	TRUE	1 000 000	HumanOmni1-Quad
RVnch1	GS000016188-ASM	1	0		0	male	R1a2d	Rushan-Vanch	Pamir_Rushan-Vanch	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Southeastern	>1700	38.5	71.7	blood	normal						this study	135	2.2.0.26	2.2	TJ762_rushanvanch	TJ762_rushanvanch		GS01562-DNA_F06	GS000020403-DID	GS000016188-ASM	TRUE	1 000 000	HumanOmni1-Quad
RVnch2	GS000014417-ASM	1	0		0	male	R1a2	Rushan-Vanch	Pamir_Rushan-Vanch	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Southeastern	>1700	38.5	71.7	blood	normal						this study	135	2.2.0.26	2.2	TJ651_rushanvanch	TJ651_rushanvanch		GS01567-DNA_H10	GS000018436-DID	GS000014417-ASM	TRUE	1 000 000	HumanOmni1-Quad
Shugn1	GS000013758-ASM	1	0		0	male	R1a2d	Shugnan	Pamir_Shugnan	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Southeastern	>2000	37.5	72.4	blood	normal						this study	135	2.2.0.26	2.2	TJ250_shugnan	TJ250_shugnan		GS01567-DNA_F10	GS000018434-DID	GS000013758-ASM	TRUE	1 000 000	HumanOmni1-Quad
Tajik1	GS000016192-ASM	1	0		0	male	R1b15	Tajiks	lowland	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Southwestern/Persian		38.4	68.9	blood	normal						this study	135	2.2.0.26	2.2	TJ353_tadjik_flat	TJ353_tadjik_flat	TJ353_tadjik_pl	GS01562-DNA_B07	GS000020407-DID	GS000016192-ASM	TRUE	1 000 000	HumanOmni1-Quad
TrkUzb1	GS000035118-ASM	1	0		0	male	Q2a	Turkmens	Shumanay	Uzbekistan	Central Asia		Altaic/Turkic/Oghuz/Eastern	Karakalpakstan	42.6	58.9	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_B06	GS000035483-DID	GS000035118-ASM	TRUE		
TrkUzb2	GS000035119-ASM	1	0		0	male	Q2a	Turkmens	Shumanay	Uzbekistan	Central Asia		Altaic/Turkic/Oghuz/Eastern	Karakalpakstan	42.6	58.9	blood	normal						this study	137	2.4.0.43	2.4	UZB178_turkmen	UZB178_turkmen		GS01548-DNA_C06	GS000035484-DID	GS000035119-ASM	TRUE	1 000 000	HumanOmni1-Quad
TrkUzb3	GS000035120-ASM	1	0		0	male	Q2a	Turkmens	Xo'jayli	Uzbekistan	Central Asia		Altaic/Turkic/Oghuz/Eastern	Karakalpakstan	42.4	59.4	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_D06	GS000035485-DID	GS000035120-ASM	TRUE		
Uigr4	GS000016176-ASM	1	0		0	female		Uygurs		Kazakhstan	Central Asia		Altaic/Turkic/Karluk	"Father is from Uighursky District of Kazakhstan, coordinates are from the admin center of it Chundzha; Mother from China"	43.5	79.5	blood	Unusal_metrics	1	1	0	0	0	this study	135	2.2.0.26	2.2	uighur4_1m	uighur4_1m		GS01562-DNA_F04	GS000020388-DID	GS000016176-ASM	TRUE	1 000 000	HumanOmni1-Quad
Uzbk1	GS000035028-ASM	1	0		0	female		Uzbek		Uzbekistan	Central Asia		Altaic/Turkic/Karluk	Approximate coordinates. All that is knowin is that these are from Tashkent or Samarkand	40.3	68.2	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_A03	GS000035458-DID	GS000035028-ASM	TRUE		
Uzbk2	GS000035029-ASM	1	0		0	female		Uzbek		Uzbekistan	Central Asia		Altaic/Turkic/Karluk	Approximate coordinates. All that is knowin is that these are from Tashkent or Samarkand	40.3	68.2	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_B03	GS000035459-DID	GS000035029-ASM	TRUE		
Uzbk3	GS000035030-ASM	1	0		0	male	Q1c	Uzbek	Papsky_district	Uzbekistan	Central Asia		Altaic/Turkic/Karluk	Namangan_Province; Birthplace is not given. Coordinates are for the district.	41	70.9	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_C03	GS000035460-DID	GS000035030-ASM	TRUE		
Yaghn1	GS000016194-ASM	1	0		0	female		Yaghnobi	Pamir_Yaghnobi	Tajikistan	Central Asia		Indo-European/Indo-Iranian/Iranian/Eastern/Northeastern/Sogdian	>1000	39.5	67.6	blood	normal						this study	135	2.2.0.26	2.2	TJ1102_yagnobi	TJ1102_yagnobi		GS01562-DNA_E07	GS000020409-DID	GS000016194-ASM	TRUE	1 000 000	HumanOmni1-Quad
Chn3	GS000010321-ASM	1	1	E & SEA mainland	0	female		Chinese_PGP		China	East_Asia		Sino-Tibetan/Sinitic	Approximate coordinates of population gravity centre / capital	32	120.3	NA	No info						Personal genomes project	132	2.0.3.5	2	NA					GS000010321-ASM	TRUE		
Chn1	GS000015179-ASM	1	1	E & SEA mainland	0	male	C3f1	Chinese_PGP		China	East_Asia		Sino-Tibetan/Sinitic	Approximate coordinates of population gravity centre / capital	32	120.3	NA	No info						Personal genomes project	132	2.0.4.14	2	NA					GS000015179-ASM	TRUE		
Chn2	GS000010424-ASM	1	1	E & SEA mainland	0	male	D1	Chinese_PGP		China	East_Asia		Sino-Tibetan/Sinitic	Approximate coordinates of population gravity centre / capital	32	120.3	NA	No info						Personal genomes project	132	2.0.3.3	2	NA					GS000010424-ASM	TRUE		
CHB_1	NA18526-200-37-ASM	1	1	E & SEA mainland	0	female		Han	Beijing	China	East_Asia		Sino-Tibetan/Sinitic		39.9	116.4	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18526-200-37-ASM	TRUE		
CHB_2	NA18537-200-37-ASM	1	1	E & SEA mainland	0	female		Han	Beijing	China	East_Asia		Sino-Tibetan/Sinitic		39.9	116.4	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18537-200-37-ASM	TRUE		
CHB_3	NA18555-200-37-ASM	1	1	E & SEA mainland	0	female		Han	Beijing	China	East_Asia		Sino-Tibetan/Sinitic		39.9	116.4	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18555-200-37-ASM	TRUE		
CHB_4	NA18558-200-37-ASM	1	1	E & SEA mainland	0	male	N4	Han	Beijing	China	East_Asia		Sino-Tibetan/Sinitic		39.9	116.4	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18558-200-37-ASM	TRUE		
JPT_2	NA18942-200-37-ASM	1	1	E & SEA mainland	0	female		Japanese	Tokyo	Japan	East_Asia		Altaic/Japonic		35.7	139.7	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18942-200-37-ASM	TRUE		
JPT_3	NA18947-200-37-ASM	1	1	E & SEA mainland	0	female		Japanese	Tokyo	Japan	East_Asia		Altaic/Japonic		35.7	139.7	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18947-200-37-ASM	TRUE		
JPT_4	NA18956-200-37-ASM	1	1	E & SEA mainland	0	female		Japanese	Tokyo	Japan	East_Asia		Altaic/Japonic		35.7	139.7	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18956-200-37-ASM	TRUE		
JPT_1	NA18940-200-37-ASM	1	1	E & SEA mainland	0	male	D2	Japanese	Tokyo	Japan	East_Asia		Altaic/Japonic		35.7	139.7	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18940-200-37-ASM	TRUE		
Alban1	GS000035021-ASM	1	1	S&W Europe	0	male	E2a1	Albanians		Albania	Europe	Southern Europe	Indo-European/Albanian	Approximate coordinates	41.3	19.8	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_G01	GS000035448-DID	GS000035021-ASM	TRUE		
Alban2	GS000035147-ASM	1	1	S&W Europe	0	male	J2b2	Albanians		Albania	Europe	Southern Europe	Indo-European/Albanian	Approximate coordinates	41.3	19.8	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_H01	GS000035449-DID	GS000035147-ASM	TRUE		
Alban3	GS000035434-ASM	1	1	S&W Europe	0	male	J1b3	Albanians		Albania	Europe	Southern Europe	Indo-European/Albanian	Approximate coordinates	41.3	19.8	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_A02	GS000035450-DID	GS000035434-ASM	TRUE		
Bashk2	GS000019181-ASM	1	1	Volga-Ural	0	female		Bashkirs	Bashkortostan_Muradymovo	Russia	Europe	Eastern Europe	Altaic/Turkic/Kipchak/Kipchak–Bolgar	Both parents from Muradymovo	53.3	57.5	blood	normal						this study	135	2.2.0.26	2.2	bashkir2_1m	bashkir2_1m		GS01567-DNA_A03	GS000018373-DID	GS000019181-ASM	TRUE	1 000 000	HumanOmni1-Quad
Bashk3	GS000016134-ASM	1	1	Volga-Ural	0	male	R1b13	Bashkirs	Bashkortostan_Akyar	Russia	Europe	Eastern Europe	Altaic/Turkic/Kipchak/Kipchak–Bolgar	Mother from Novo-Belokataevo; Father from Kuzhanovo (Akyar coordinates)	51.9	58.2	blood	Unusal_metrics	1	1	1	1	1	this study	135	2.2.0.26	2.2	bashkir3_1m	bashkir3_1m		GS01567-DNA_B03	GS000018374-DID	GS000016134-ASM	TRUE	1 000 000	HumanOmni1-Quad
Bashk4	GS000016276-ASM	1	1	Volga-Ural	0	male	R1a2d	Bashkirs	Bashkortostan_Ufa	Russia	Europe	Eastern Europe	Altaic/Turkic/Kipchak/Kipchak–Bolgar	Mother from Buzov'jazy; Father from Bol'shoe Ozero (coordinates are average of these two)	55.3	56.1	blood	Unusal_metrics	1	1	0	1	1	this study	135	2.2.0.26	2.2	bashkir4_1m	bashkir4_1m		GS01567-DNA_C03	GS000018375-DID	GS000016276-ASM	TRUE	1 000 000	HumanOmni1-Quad
Bashk6	GS000035032-ASM	1	1	Volga-Ural	0	female		Bashkirs	Ibragimovo	Russia	Europe	Eastern Europe	Altaic/Turkic/Kipchak/Kipchak–Bolgar	Father from same place mother from Yuldybay	54.2	56.6	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_E03	GS000035462-DID	GS000035032-ASM	TRUE		
Bashk10	GS000035033-ASM	1	1	Volga-Ural	0	female		Bashkirs	Kildigulovo	Russia	Europe	Eastern Europe	Altaic/Turkic/Kipchak/Kipchak–Bolgar	Father from same place mother from Idrisovo	53.3	57.9	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_F03	GS000035463-DID	GS000035033-ASM	TRUE		
BelaR1	GS000014324-ASM	1	1	E&N Europe	0	male	I2a	Belarusians	Kobryn_Brest	Belarus	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East		52.2	24.4	blood	normal						this study	135	2.2.0.26	2.2	belorus32zp_1m	belarusian32zp	belorus32zp_1m	GS01567-DNA_A01	GS000018357-DID	GS000014324-ASM	TRUE	1 000 000	HumanOmni1-Quad
BelaR2	GS000016104-ASM	1	1	E&N Europe	0	male	I1b	Belarusians	Zhytkavichy_Homel	Belarus	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East		52.2	27.9	blood	Unusal_metrics	1	1	1	1	1	this study	135	2.2.0.26	2.2	belorus52vp_1m	belarusian52vp	belorus52vp_1m	GS01567-DNA_B01	GS000018358-DID	GS000016104-ASM	TRUE	1 000 000	HumanOmni1-Quad
BelaR3	GS000014351-ASM	1	1	E&N Europe	0	male	I2a	Belarusians	Kobryn_Brest	Belarus	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East		52.2	24.4	blood	Unusal_metrics	1	1	0	0	0	this study	135	2.2.0.26	2.2	belorus54zp_1m	belarusian54zp	belorus54zp_1m	GS01567-DNA_C01	GS000018359-DID	GS000014351-ASM	TRUE	1 000 000	HumanOmni1-Quad
BelaR4	GS000035241-ASM	1	1	E&N Europe	0	female		Belarusians	Glybokae_Vitebsk	Belarus	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East	"father from the same place mother from Vilejka, Minsk Region"	55.1	27.7	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_B09	GS000035507-DID	GS000035241-ASM	TRUE		
Chuv2	GS000019182-ASM	1	1	Volga-Ural	0	female		Chuvashes	Bashkortostan_Novye-Karmaskaly	Russia	Europe	Eastern Europe	Altaic/Turkic/Oghur/Bulgar		53.7	54.7	blood	normal						this study	135	2.2.0.26	2.2	NOT_DONE	NOT_DONE		GS01567-DNA_E11	GS000018441-DID	GS000019182-ASM	TRUE		
Chuv3	GS000020097-ASM	1	1	Volga-Ural	0	female		Chuvashes	Bashkortostan_Vasilevka	Russia	Europe	Eastern Europe	Altaic/Turkic/Oghur/Bulgar		53.6	56.5	blood	normal						this study	135	2.2.0.26	2.2	chuvash3_1m	chuvash3_1m		GS01567-DNA_F11	GS000018442-DID	GS000020097-ASM	TRUE	1 000 000	HumanOmni1-Quad
Chuv1	GS000013764-ASM	1	1	Volga-Ural	0	male	I2a	Chuvashes	Bashkortostan_Kozhay-Semyonovka	Russia	Europe	Eastern Europe	Altaic/Turkic/Oghur/Bulgar		53.7	54.7	blood	normal						this study	135	2.2.0.26	2.2	chuvash1_1m	chuvash1_1m		GS01567-DNA_D11	GS000018440-DID	GS000013764-ASM	TRUE	1 000 000	HumanOmni1-Quad
Cosk1	GS000035238-ASM	1	1	E&N Europe	0	male	R1a1d	Cossacks	Zaporozhie	Ukraine	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East		47.8	35.2	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_C08	GS000035500-DID	GS000035238-ASM	TRUE		
Cosk2	GS000035239-ASM	1	1	E&N Europe	0	male	R1a2b	Cossacks	Zaporozhie	Ukraine	Europe	Eastern Europe	Indo-European/Balto-Slavic/Slavic/East		47.8	35.2	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_D08	GS000035501-DID	GS000035239-ASM	TRUE		
