sample	accession	center	platform	layout	library	description	fastq_r1	fastq_r2
CGG2012561	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012561_E1_L1_S20_L002	CGG	ILLUMINA	PAIRED	CGG2012561	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012561_E1_L1_S20_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012561_E1_L1_S20_L002_R2_001.fastq.gz
CGG2012574	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012574_E1_L1_S21_L001	CGG	ILLUMINA	PAIRED	CGG2012574	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012574_E1_L1_S21_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012574_E1_L1_S21_L001_R2_001.fastq.gz
CGG2012574	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012574_E1_L1_S21_L002	CGG	ILLUMINA	PAIRED	CGG2012574	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012574_E1_L1_S21_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012574_E1_L1_S21_L002_R2_001.fastq.gz
CGG2012624	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012624_E1_L1_S22_L001	CGG	ILLUMINA	PAIRED	CGG2012624	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012624_E1_L1_S22_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012624_E1_L1_S22_L001_R2_001.fastq.gz
CGG2012624	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012624_E1_L1_S22_L002	CGG	ILLUMINA	PAIRED	CGG2012624	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012624_E1_L1_S22_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012624_E1_L1_S22_L002_R2_001.fastq.gz
CGG2012633	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012633_E1_L1_S23_L001	CGG	ILLUMINA	PAIRED	CGG2012633	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012633_E1_L1_S23_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012633_E1_L1_S23_L001_R2_001.fastq.gz
CGG2012633	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012633_E1_L1_S23_L002	CGG	ILLUMINA	PAIRED	CGG2012633	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012633_E1_L1_S23_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012633_E1_L1_S23_L002_R2_001.fastq.gz
CGG2012641	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012641_E1_L1_S24_L001	CGG	ILLUMINA	PAIRED	CGG2012641	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012641_E1_L1_S24_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012641_E1_L1_S24_L001_R2_001.fastq.gz
CGG2012641	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012641_E1_L1_S24_L002	CGG	ILLUMINA	PAIRED	CGG2012641	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012641_E1_L1_S24_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012641_E1_L1_S24_L002_R2_001.fastq.gz
CGG2012643	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012643_E1_L1_S25_L001	CGG	ILLUMINA	PAIRED	CGG2012643	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012643_E1_L1_S25_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012643_E1_L1_S25_L001_R2_001.fastq.gz
CGG2012643	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012643_E1_L1_S25_L002	CGG	ILLUMINA	PAIRED	CGG2012643	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012643_E1_L1_S25_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012643_E1_L1_S25_L002_R2_001.fastq.gz
CGG2012644	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2012644_E1_L1_S1_L004	CGG	ILLUMINA	PAIRED	CGG2012644	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2012644aE1aL1_S1_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2012644aE1aL1_S1_L004_R2_001.fastq.gz
CGG2013653	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2013653_E1_L1_S2_L004	CGG	ILLUMINA	PAIRED	CGG2013653	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013653aE1aL1_S2_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013653aE1aL1_S2_L004_R2_001.fastq.gz
CGG2013654	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2013654_E1_L1_S3_L004	CGG	ILLUMINA	PAIRED	CGG2013654	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013654aE1aL1_S3_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013654aE1aL1_S3_L004_R2_001.fastq.gz
CGG2013657	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2013657_E1_L1_S4_L004	CGG	ILLUMINA	PAIRED	CGG2013657	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013657aE1aL1_S4_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2013657aE1aL1_S4_L004_R2_001.fastq.gz
CGG2014113	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014113_E1_L1_S5_L004	CGG	ILLUMINA	PAIRED	CGG2014113	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014113aE1aL1_S5_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014113aE1aL1_S5_L004_R2_001.fastq.gz
CGG2014115	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014115_E1_L1_S6_L004	CGG	ILLUMINA	PAIRED	CGG2014115	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014115aE1aL1_S6_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014115aE1aL1_S6_L004_R2_001.fastq.gz
CGG2014119	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014119_E1_L1_S7_L004	CGG	ILLUMINA	PAIRED	CGG2014119	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014119aE1aL1_S7_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014119aE1aL1_S7_L004_R2_001.fastq.gz
CGG2014127	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014127_E1_L1_S8_L004	CGG	ILLUMINA	PAIRED	CGG2014127	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014127aE1aL1_S8_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014127aE1aL1_S8_L004_R2_001.fastq.gz
CGG2014133	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014133_E1_L1_S10_L004	CGG	ILLUMINA	PAIRED	CGG2014133	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014133aE1aL1_S10_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014133aE1aL1_S10_L004_R2_001.fastq.gz
CGG2014141	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014141_E1_L1_S11_L004	CGG	ILLUMINA	PAIRED	CGG2014141	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014141aE1aL1_S11_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014141aE1aL1_S11_L004_R2_001.fastq.gz
CGG2014153	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014153_E1_L1_S12_L004	CGG	ILLUMINA	PAIRED	CGG2014153	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014153aE1aL1_S12_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014153aE1aL1_S12_L004_R2_001.fastq.gz
CGG2014156	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014156_E1_L1_S13_L004	CGG	ILLUMINA	PAIRED	CGG2014156	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014156aE1aL1_S13_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014156aE1aL1_S13_L004_R2_001.fastq.gz
CGG2014159	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014159_E1_L1_S14_L004	CGG	ILLUMINA	PAIRED	CGG2014159	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014159aE1aL1_S14_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014159aE1aL1_S14_L004_R2_001.fastq.gz
CGG2014160	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014160_E1_L1_S15_L004	CGG	ILLUMINA	PAIRED	CGG2014160	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014160aE1aL1_S15_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014160aE1aL1_S15_L004_R2_001.fastq.gz
CGG2014211	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014211_E1_L1_S16_L004	CGG	ILLUMINA	PAIRED	CGG2014211	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014211aE1aL1_S16_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014211aE1aL1_S16_L004_R2_001.fastq.gz
CGG2014216	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014216_E1_L1_S17_L004	CGG	ILLUMINA	PAIRED	CGG2014216	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014216aE1aL1_S17_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014216aE1aL1_S17_L004_R2_001.fastq.gz
CGG2014226	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014226_E1_L1_S18_L004	CGG	ILLUMINA	PAIRED	CGG2014226	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014226aE1aL1_S18_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014226aE1aL1_S18_L004_R2_001.fastq.gz
CGG2014233	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014233_E1_L1_S19_L004	CGG	ILLUMINA	PAIRED	CGG2014233	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014233aE1aL1_S19_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014233aE1aL1_S19_L004_R2_001.fastq.gz
CGG2014236	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014236_E1_L1_S20_L004	CGG	ILLUMINA	PAIRED	CGG2014236	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014236aE1aL1_S20_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014236aE1aL1_S20_L004_R2_001.fastq.gz
CGG2014304	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014304_E1_L1_S21_L004	CGG	ILLUMINA	PAIRED	CGG2014304	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014304aE1aL1_S21_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014304aE1aL1_S21_L004_R2_001.fastq.gz
CGG2014305	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014305_E1_L1_S22_L004	CGG	ILLUMINA	PAIRED	CGG2014305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014305aE1aL1_S22_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014305aE1aL1_S22_L004_R2_001.fastq.gz
CGG2014308	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014308_E1_L1_S23_L004	CGG	ILLUMINA	PAIRED	CGG2014308	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014308aE1aL1_S23_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014308aE1aL1_S23_L004_R2_001.fastq.gz
CGG2014313	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014313_E1_L1_S24_L004	CGG	ILLUMINA	PAIRED	CGG2014313	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014313aE1aL1_S24_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014313aE1aL1_S24_L004_R2_001.fastq.gz
CGG2014319	190313_A00706_0008_AHGT3LDSXX_4_TTP3_CGG2014319_E1_L1_S25_L004	CGG	ILLUMINA	PAIRED	CGG2014319	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014319aE1aL1_S25_L004_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_4/Modern_Africans/Modern_Africans/TTP3aCGG2014319aE1aL1_S25_L004_R2_001.fastq.gz
CGG2012300	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012300_E1_L1_S1_L001	CGG	ILLUMINA	PAIRED	CGG2012300	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012300aE1aL1_S1_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012300aE1aL1_S1_L001_R2_001.fastq.gz
CGG2012300	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012300_E1_L1_S1_L002	CGG	ILLUMINA	PAIRED	CGG2012300	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012300aE1aL1_S1_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012300aE1aL1_S1_L002_R2_001.fastq.gz
CGG2012301	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012301_E1_L1_S2_L001	CGG	ILLUMINA	PAIRED	CGG2012301	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012301aE1aL1_S2_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012301aE1aL1_S2_L001_R2_001.fastq.gz
CGG2012301	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012301_E1_L1_S2_L002	CGG	ILLUMINA	PAIRED	CGG2012301	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012301aE1aL1_S2_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012301aE1aL1_S2_L002_R2_001.fastq.gz
CGG2012305	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012305_E1_L1_S3_L001	CGG	ILLUMINA	PAIRED	CGG2012305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012305aE1aL1_S3_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012305aE1aL1_S3_L001_R2_001.fastq.gz
CGG2012305	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012305_E1_L1_S3_L002	CGG	ILLUMINA	PAIRED	CGG2012305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012305aE1aL1_S3_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012305aE1aL1_S3_L002_R2_001.fastq.gz
CGG2012316	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012316_E1_L1_S4_L001	CGG	ILLUMINA	PAIRED	CGG2012316	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012316aE1aL1_S4_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012316aE1aL1_S4_L001_R2_001.fastq.gz
CGG2012316	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012316_E1_L1_S4_L002	CGG	ILLUMINA	PAIRED	CGG2012316	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012316aE1aL1_S4_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012316aE1aL1_S4_L002_R2_001.fastq.gz
CGG2012333	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012333_E1_L1_S5_L001	CGG	ILLUMINA	PAIRED	CGG2012333	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012333aE1aL1_S5_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012333aE1aL1_S5_L001_R2_001.fastq.gz
CGG2012333	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012333_E1_L1_S5_L002	CGG	ILLUMINA	PAIRED	CGG2012333	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012333aE1aL1_S5_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012333aE1aL1_S5_L002_R2_001.fastq.gz
CGG2012406	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012406_E1_L1_S6_L001	CGG	ILLUMINA	PAIRED	CGG2012406	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012406aE1aL1_S6_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012406aE1aL1_S6_L001_R2_001.fastq.gz
CGG2012406	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012406_E1_L1_S6_L002	CGG	ILLUMINA	PAIRED	CGG2012406	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012406aE1aL1_S6_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012406aE1aL1_S6_L002_R2_001.fastq.gz
CGG2012408	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012408_E1_L1_S7_L001	CGG	ILLUMINA	PAIRED	CGG2012408	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012408aE1aL1_S7_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012408aE1aL1_S7_L001_R2_001.fastq.gz
CGG2012408	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012408_E1_L1_S7_L002	CGG	ILLUMINA	PAIRED	CGG2012408	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012408aE1aL1_S7_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012408aE1aL1_S7_L002_R2_001.fastq.gz
CGG2012409	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012409_E1_L1_S8_L001	CGG	ILLUMINA	PAIRED	CGG2012409	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012409aE1aL1_S8_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012409aE1aL1_S8_L001_R2_001.fastq.gz
CGG2012409	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012409_E1_L1_S8_L002	CGG	ILLUMINA	PAIRED	CGG2012409	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012409aE1aL1_S8_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012409aE1aL1_S8_L002_R2_001.fastq.gz
CGG2012411	190313_A00706_0008_AHGT3LDSXX_L1_L2_HR3H_CGG2012411_E1_L1_S9_L001	CGG	ILLUMINA	PAIRED	CGG2012411	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012411aE1aL1_S9_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190313_A00706_0008_AHGT3LDSXX_L1_L2/HR3HaCGG2012411aE1aL1_S9_L001_R2_001.fastq.gz
