sample	library	sample_accession	source	library_type	population	latitude	longitude	region	sex	coverage	freemix	capmq	insert_size_average	array_non_reference_discordance	library_alias_ENA
HGDP00313	HGDP00313.15458948	ERS474499	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	34.31	0.00941	20	422.2	0.05569	NA
HGDP00315	HGDP00315.15458960	ERS474500	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	40.64	0.01877	20	435.1	0.065169	NA
HGDP00319	HGDP00319.11575345	ERS474501	sanger	PCR	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	33.83	0.00123	29	460.7	0.048254	11318142
HGDP00323	HGDP00323.15458972	ERS474502	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	F	45.79	0.01734	20	406.1	0.04932	NA
HGDP00326	HGDP00326.15458889	ERS474503	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	32.49	0.00836	21	438.7	0.055353	NA
HGDP00328	HGDP00328.LP6005441-DNA_E06	ERS1042259	sgdp	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	37.38	0.00223	26	279.3	0.033138	NA
HGDP00330	HGDP00330.15458901	ERS474505	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	31.2	0.00883	21	424.6	0.059845	NA
HGDP00333	HGDP00333.15458913	ERS474506	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	32.21	0.0108	20	428.2	0.066642	NA
HGDP00338	HGDP00338.LP6005441-DNA_F03	ERS1042154	sgdp	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	F	40.54	0.00050	33	294.4	0.031183	NA
HGDP00341	HGDP00341.11575308	ERS474413	sanger	PCR	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.13	0.0003	35	478.1	0.040043	11318131
HGDP00346	HGDP00346.11575320	ERS474414	sanger	PCR	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	33.86	0.00177	28	471.7	0.066383	11318132
HGDP00351	HGDP00351.15362697	ERS474415	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	30.73	0.00852	21	442.7	0.056392	NA
HGDP00356	HGDP00356.15362709	ERS474416	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	F	26.69	0.01268	20	457.5	0.08465	NA
HGDP00359	HGDP00359.11575332	ERS474417	sanger	PCR	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	32.96	0.00046	33	489.2	0.055784	11318133
HGDP00364	HGDP00364.15362721	ERS474418	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	30.79	0.01229	20	447.9	0.074219	NA
HGDP00371	HGDP00371.15362733	ERS474419	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	F	32.89	0.01119	20	455.7	0.056942	NA
HGDP00372	HGDP00372.15362745	ERS474420	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	30.68	0.00984	20	452.4	0.075405	NA
HGDP00376	HGDP00376.15362757	ERS474421	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	31.77	0.01147	20	446	0.062161	NA
HGDP00382	HGDP00382.15362769	ERS474422	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	28.64	0.01127	20	536.7	0.081133	NA
HGDP00388	HGDP00388.15458881	ERS474423	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	40.82	0.00845	21	435.5	0.048059	NA
HGDP00392	HGDP00392.15458893	ERS474424	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	33.17	0.01093	20	416.5	0.065342	NA
HGDP00397	HGDP00397.15458905	ERS474425	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.7	0.01315	20	502.7	0.071506	NA
HGDP00402	HGDP00402.15458917	ERS474426	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.35	0.01459	20	420.8	0.072371	NA
HGDP00407	HGDP00407.15458929	ERS474427	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	36.25	0.0085	21	408	0.050337	NA
HGDP00412	HGDP00412.15458941	ERS474428	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.54	0.00852	21	409.5	0.052932	NA
HGDP00417	HGDP00417.15458953	ERS474429	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	42.26	0.01395	20	427.7	0.047825	NA
HGDP00423	HGDP00423.15458965	ERS474430	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	32.84	0.01543	20	416.4	0.08805	NA
HGDP00428	HGDP00428.LP6005441-DNA_E03	ERS1042242	sgdp	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	42.19	0.00069	31	291	0.032031	NA
HGDP00433	HGDP00433.15458882	ERS474432	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.69	0.01048	20	428.8	0.049921	NA
HGDP00438	HGDP00438.15458894	ERS474433	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.32	0.01033	20	442.5	0.047515	NA
HGDP00444	HGDP00444.15458906	ERS474434	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	F	36.96	0.01199	20	421.8	0.056183	NA
HGDP00445	HGDP00445.15458918	ERS474435	sanger	PCRfree	Burusho	36.5	74	CENTRAL_SOUTH_ASIA	M	35.03	0.01384	20	428.7	0.071678	NA
HGDP00449	HGDP00449.LP6005441-DNA_A08	ERS1042179	sgdp	PCRfree	Mbuti	1	29	AFRICA	M	38.82	0.00033	34	310.8	0.116352	NA
HGDP00450	HGDP00450.11144822	ERS474066	sanger	PCR	Mbuti	1	29	AFRICA	M	34.52	0.00024	36	499.8	0.119423	11140634
HGDP00452	HGDP00452.11144796	ERS474042	sanger	PCR	Biaka	4	17	AFRICA	M	32.08	0.00041	34	479.1	NA	11140616
HGDP00453	HGDP00453.11144808	ERS474043	sanger	PCR	Biaka	4	17	AFRICA	M	34.79	0.00084	31	505.3	NA	11140617
HGDP00454	HGDP00454.15947664	ERS813221	sanger	PCRfree	Biaka	4	17	AFRICA	M	37.38	0.00578	22	427.5	0.120043	NA
HGDP00455	HGDP00455.15947677	ERS813222	sanger	PCRfree	Biaka	4	17	AFRICA	M	38.9	0.0081	21	423.5	0.116433	NA
HGDP00456	HGDP00456_meyer2012	NA	meyer2012	PCR	Mbuti	1	29	AFRICA	M	26.28	0.00634	21	260.6	0.179236	NA
HGDP00457	HGDP00457.LP6005441-DNA_G02	ERS1042238	sgdp	PCRfree	Biaka	4	17	AFRICA	M	43.94	0.00010	40	293	0.100018	NA
HGDP00458	HGDP00458.11144820	ERS474047	sanger	PCR	Biaka	4	17	AFRICA	M	35.03	0.00111	30	484.8	0.121994	11140618
HGDP00459	HGDP00459.11144832	ERS474048	sanger	PCR	Biaka	4	17	AFRICA	M	34.87	0.00087	31	492.9	0.120697	11140619
HGDP00460	HGDP00460.15319774	ERS474049	sanger	PCRfree	Biaka	4	17	AFRICA	M	37.92	0.00983	20	427.6	0.130861	NA
HGDP00461	HGDP00461.LP6005441-DNA_H02	ERS1042239	sgdp	PCRfree	Biaka	4	17	AFRICA	M	43.37	0.00017	37	289.7	0.097408	NA
HGDP00462	HGDP00462.11144834	ERS474068	sanger	PCR	Mbuti	1	29	AFRICA	M	36.45	0.00049	33	518.9	0.12361	11140635
HGDP00463	HGDP00463.11144846	ERS474069	sanger	PCR	Mbuti	1	29	AFRICA	M	34.84	0.00033	35	496.1	0.129319	11140636
HGDP00464	HGDP00464.11144844	ERS474051	sanger	PCR	Biaka	4	17	AFRICA	M	34.64	0.00053	33	513.7	0.105313	11140620
HGDP00466	HGDP00466.11144868	ERS474053	sanger	PCR	Biaka	4	17	AFRICA	M	33.9	0.00076	31	501.8	0.120916	11140622
HGDP00467	HGDP00467.11144858	ERS474070	sanger	PCR	Mbuti	1	29	AFRICA	M	38.65	0.00029	35	475.9	0.108119	11140637
HGDP00469	HGDP00469.12668696	ERS474054	sanger	PCR	Biaka	4	17	AFRICA	M	36.72	0.0121	20	467.6	0.190321	12519480
HGDP00470	HGDP00470.11144797	ERS474055	sanger	PCR	Biaka	4	17	AFRICA	M	30.77	0.00063	32	493	0.127889	11140624
HGDP00471	HGDP00471.11144870	ERS474071	sanger	PCR	Mbuti	1	29	AFRICA	F	34.73	0.00045	33	465.3	0.122063	11140638
HGDP00472	HGDP00472.11144809	ERS474056	sanger	PCR	Biaka	4	17	AFRICA	M	36.01	0.00032	35	507.3	0.115889	11140625
HGDP00473	HGDP00473.11144821	ERS474057	sanger	PCR	Biaka	4	17	AFRICA	M	34.8	0.00049	33	506.9	0.110798	11140626
HGDP00474	HGDP00474.LP6005592-DNA_C03	ERS1358102	sgdp	PCRfree	Mbuti	1	29	AFRICA	M	41.18	0.00036	34	297.3	0.115072	NA
HGDP00475	HGDP00475.11144833	ERS474058	sanger	PCR	Biaka	4	17	AFRICA	M	34.79	0.00064	32	509.1	0.111648	11140627
HGDP00476	HGDP00476.LP6005441-DNA_B08	ERS1042178	sgdp	PCRfree	Mbuti	1	29	AFRICA	F	37.4	0.00013	38	315.8	0.117689	NA
HGDP00478	HGDP00478.11144882	ERS474074	sanger	PCR	Mbuti	1	29	AFRICA	M	38.3	0.00033	35	491.4	0.121777	11140639
HGDP00479	HGDP00479.11144845	ERS474059	sanger	PCR	Biaka	4	17	AFRICA	M	34.35	0.00025	36	457.8	0.106129	11140628
HGDP00491	HGDP00491.11144805	ERS474901	sanger	PCR	Bougainville	-6	155	OCEANIA	M	36.94	0.00058	32	528	0.049308	11140688
HGDP00511	HGDP00511.15665885	ERS474623	sanger	PCRfree	French	46	2	EUROPE	M	34.01	0.00953	20	418	0.056953	NA
HGDP00512	HGDP00512.15665897	ERS474624	sanger	PCRfree	French	46	2	EUROPE	M	31.47	0.01275	20	427.8	0.088556	NA
HGDP00513	HGDP00513.15665909	ERS474625	sanger	PCRfree	French	46	2	EUROPE	F	35.59	0.01029	20	400.4	0.03883	NA
HGDP00514	HGDP00514.15665922	ERS474626	sanger	PCRfree	French	46	2	EUROPE	F	34.91	0.01501	20	450.2	0.066947	NA
HGDP00515	HGDP00515.15665934	ERS474627	sanger	PCRfree	French	46	2	EUROPE	M	35.3	0.01098	20	428.5	0.068413	NA
HGDP00516	HGDP00516.15665954	ERS474628	sanger	PCRfree	French	46	2	EUROPE	F	32.29	0.0165	20	428.5	0.07717	NA
HGDP00517	HGDP00517.15665980	ERS474629	sanger	PCRfree	French	46	2	EUROPE	F	38.18	0.01721	20	414.9	0.071134	NA
HGDP00518	HGDP00518.15665874	ERS474630	sanger	PCRfree	French	46	2	EUROPE	M	37.03	0.00943	20	462.3	0.059905	NA
HGDP00519	HGDP00519.15665886	ERS474631	sanger	PCRfree	French	46	2	EUROPE	M	27.32	0.00891	21	483.1	0.09042	NA
HGDP00520	HGDP00520.15665898	ERS474632	sanger	PCRfree	French	46	2	EUROPE	F	37.45	0.00806	21	443.8	0.043643	NA
HGDP00521	HGDP00521_meyer2012	NA	meyer2012	PCR	French	46	2	EUROPE	M	28.63	0.00389	24	278.8	0.074341	NA
HGDP00522	HGDP00522.15665910	ERS474634	sanger	PCRfree	French	46	2	EUROPE	M	32.87	0.01376	20	534.5	0.097742	NA
HGDP00523	HGDP00523.15665923	ERS474635	sanger	PCRfree	French	46	2	EUROPE	F	35.25	0.00864	21	443.1	0.048984	NA
HGDP00524	HGDP00524.15665936	ERS474636	sanger	PCRfree	French	46	2	EUROPE	F	35.34	0.01371	20	442	0.056631	NA
HGDP00525	HGDP00525.15665957	ERS474637	sanger	PCRfree	French	46	2	EUROPE	M	35.43	0.01764	20	427.2	0.09465	NA
HGDP00526	HGDP00526.LP6005441-DNA_B05	ERS1042156	sgdp	PCRfree	French	46	2	EUROPE	F	39.48	0.00009	40	295.9	0.034718	NA
HGDP00527	HGDP00527.15665982	ERS474639	sanger	PCRfree	French	46	2	EUROPE	F	32.56	0.02139	20	422.8	0.09816	NA
HGDP00528	HGDP00528.15665875	ERS474640	sanger	PCRfree	French	46	2	EUROPE	M	39.09	0.01151	20	410.1	0.055602	NA
HGDP00529	HGDP00529.15665887	ERS474641	sanger	PCRfree	French	46	2	EUROPE	F	31.27	0.01076	20	482	0.058487	NA
HGDP00530	HGDP00530.LP6005441-DNA_A05	ERS1042155	sgdp	PCRfree	French	46	2	EUROPE	M	43.81	0.00066	31	278.2	0.038346	NA
HGDP00531	HGDP00531.15665899	ERS474643	sanger	PCRfree	French	46	2	EUROPE	F	35.58	0.01041	20	443.4	0.037152	NA
HGDP00533	HGDP00533.SS6004468	ERS1358149	sgdp	PCR	French	46	2	EUROPE	M	44.37	0.00032	34	336.6	0.033124	NA
HGDP00534	HGDP00534.15665911	ERS474645	sanger	PCRfree	French	46	2	EUROPE	F	40.22	0.00935	20	444.9	0.040083	NA
HGDP00535	HGDP00535.15665924	ERS474646	sanger	PCRfree	French	46	2	EUROPE	F	34.18	0.00921	20	448.5	0.04168	NA
HGDP00536	HGDP00536.15665937	ERS474647	sanger	PCRfree	French	46	2	EUROPE	F	38.95	0.00931	20	422.9	0.126995	NA
HGDP00537	HGDP00537.15665959	ERS474648	sanger	PCRfree	French	46	2	EUROPE	F	35.95	0.01382	20	443.2	0.046466	NA
HGDP00538	HGDP00538.15665984	ERS474649	sanger	PCRfree	French	46	2	EUROPE	M	32.79	0.01802	20	424.6	0.120072	NA
HGDP00539	HGDP00539.15665876	ERS474650	sanger	PCRfree	French	46	2	EUROPE	F	36.91	0.01072	20	411.5	0.04804	NA
HGDP00540	HGDP00540.LP6005443-DNA_H07	ERS1358135	sgdp	PCRfree	PapuanSepik	-4	143	OCEANIA	M	46.59	0.00088	30	298.2	0.040409	NA
HGDP00541	HGDP00541.11144865	ERS474913	sanger	PCR	PapuanSepik	-4	143	OCEANIA	M	33.03	0.00119	29	519.8	0.051933	11140693
HGDP00542	HGDP00542.15947683	ERS474914	sanger	PCRfree	PapuanSepik	-4	143	OCEANIA	M	37.56	0.00794	21	429.6	0.055505	NA
HGDP00543	HGDP00543.11144889	ERS474915	sanger	PCR	PapuanSepik	-4	143	OCEANIA	M	34.31	0.00132	29	499.3	0.062095	11140695
HGDP00544	HGDP00544.11144806	ERS474916	sanger	PCR	PapuanSepik	-4	143	OCEANIA	F	33.31	0.00176	28	482	0.056776	11140696
HGDP00545	HGDP00545.11144818	ERS474917	sanger	PCR	PapuanSepik	-4	143	OCEANIA	M	32.57	0.00196	27	512.3	0.059496	11140697
HGDP00546	HGDP00546.15947695	ERS474918	sanger	PCRfree	PapuanSepik	-4	143	OCEANIA	M	38.04	0.00658	22	429.7	0.047741	NA
HGDP00547	HGDP00547.11144842	ERS474919	sanger	PCR	PapuanSepik	-4	143	OCEANIA	M	33.65	0.00087	31	513.5	0.054165	11140699
HGDP00548	HGDP00548.LP6005443-DNA_F07	ERS1255110	sgdp	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	M	49.02	0.00055	32	312.7	0.044559	NA
HGDP00549	HGDP00549.15947707	ERS474921	sanger	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	M	37.25	0.01112	20	425.6	0.07504	NA
HGDP00550	HGDP00550.11144866	ERS474922	sanger	PCR	PapuanHighlands	-6.1	145.4	OCEANIA	F	32.05	0.00065	32	506.1	0.053103	11140701
HGDP00551	HGDP00551.15947719	ERS474923	sanger	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	M	35.82	0.00765	21	417.5	0.058152	NA
HGDP00552	HGDP00552.LP6005443-DNA_D08	ERS1255095	sgdp	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	F	42.39	0.00061	32	302.1	0.041756	NA
HGDP00553	HGDP00553.15947617	ERS474925	sanger	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	M	35.28	0.0064	22	415.6	0.059587	NA
HGDP00554	HGDP00554.LP6005443-DNA_E08	ERS1255102	sgdp	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	F	34.26	0.00057	32	298.7	0.04467	NA
HGDP00555	HGDP00555.11144807	ERS474927	sanger	PCR	PapuanHighlands	-6.1	145.4	OCEANIA	M	33.34	0.00048	33	499	0.060499	11140704
HGDP00556	HGDP00556.15947637	ERS474928	sanger	PCRfree	PapuanHighlands	-6.1	145.4	OCEANIA	M	34.56	0.00666	22	419.6	0.061632	NA
HGDP00557	HGDP00557.15678126	ERS474739	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	40.46	0.00577	22	434.3	0.036092	NA
HGDP00558	HGDP00558.15678138	ERS474740	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	36.55	0.00838	21	444.3	0.045285	NA
HGDP00559	HGDP00559.15678150	ERS474741	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	35.82	0.00936	20	441.1	0.045699	NA
HGDP00560	HGDP00560.15678067	ERS474742	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	43.12	0.00964	20	428.4	0.041837	NA
HGDP00561	HGDP00561.15678079	ERS474743	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	29.41	0.00844	21	429.9	0.057438	NA
HGDP00562	HGDP00562.11575311	ERS474744	sanger	PCR	Druze	32	35	MIDDLE_EAST	M	32.53	0.00068	32	483.7	0.04969	11318156
HGDP00563	HGDP00563.15678091	ERS474745	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	42.33	0.0049	23	426.2	0.035733	NA
HGDP00564	HGDP00564.15678103	ERS474746	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	35	0.00655	22	452.8	0.042261	NA
HGDP00565	HGDP00565.15678115	ERS474747	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	33.91	0.0105	20	438.5	0.047818	NA
HGDP00566	HGDP00566.15678127	ERS474748	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	39.33	0.00652	22	439.9	0.0347	NA
HGDP00567	HGDP00567.15678139	ERS474749	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	37.99	0.00909	20	431.5	0.042859	NA
HGDP00568	HGDP00568.15678151	ERS474750	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	32.92	0.01083	20	434.5	0.057215	NA
HGDP00569	HGDP00569.LP6005443-DNA_D01	ERS1255088	sgdp	PCRfree	Druze	32	35	MIDDLE_EAST	F	48.98	0.00043	33	315.1	0.040371	NA
HGDP00571	HGDP00571.15678068	ERS474752	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	34.19	0.00902	20	418.8	0.044032	NA
HGDP00572	HGDP00572.15678080	ERS474753	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	35.37	0.00787	21	442	0.048164	NA
HGDP00573	HGDP00573.15678092	ERS474754	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	37.79	0.00573	22	443.6	0.042363	NA
HGDP00574	HGDP00574.15678104	ERS474755	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	40.64	0.00966	20	454.6	0.043103	NA
HGDP00575	HGDP00575.15678116	ERS474756	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	36.89	0.00857	21	420.2	0.044479	NA
HGDP00576	HGDP00576.11575323	ERS474757	sanger	PCR	Druze	32	35	MIDDLE_EAST	M	28.61	0.00062	32	365.7	0.055926	11318157
HGDP00577	HGDP00577.15678128	ERS474758	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	39.12	0.00743	21	426.5	0.038654	NA
HGDP00578	HGDP00578.15678140	ERS474759	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	36.96	0.01168	20	424	0.049748	NA
HGDP00579	HGDP00579.15678152	ERS474760	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	27.21	0.01344	20	394.6	0.089421	NA
HGDP00580	HGDP00580.11575335	ERS474761	sanger	PCR	Druze	32	35	MIDDLE_EAST	M	35.2	0.00032	35	487.5	0.03994	11318158
HGDP00581	HGDP00581.15678069	ERS474762	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	33.88	0.00682	22	419.1	0.039753	NA
HGDP00582	HGDP00582.15678081	ERS474763	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	35.9	0.00926	20	434.4	0.045615	NA
HGDP00583	HGDP00583.15678093	ERS474764	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	35.2	0.0071	21	430.3	0.047082	NA
HGDP00584	HGDP00584.15678105	ERS474765	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	37.31	0.00771	21	436.6	0.046634	NA
HGDP00586	HGDP00586.15678117	ERS474766	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	40.03	0.00887	21	438.2	0.043302	NA
HGDP00587	HGDP00587.15678129	ERS474767	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	36.34	0.00668	22	419.9	0.042693	NA
HGDP00588	HGDP00588.15678141	ERS474768	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	35.53	0.00708	21	434.9	0.057704	NA
HGDP00590	HGDP00590.15678153	ERS474769	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	29.72	0.012	20	391.4	0.065749	NA
HGDP00591	HGDP00591.15775094	ERS474770	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	38.81	0.00748	21	431.4	0.036884	NA
HGDP00594	HGDP00594.15775106	ERS474771	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	33.47	0.00861	21	433.5	0.054295	NA
HGDP00595	HGDP00595.15775118	ERS474772	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	38.17	0.00792	21	434.8	0.189079	NA
HGDP00597	HGDP00597.LP6005441-DNA_G04	ERS1042245	sgdp	PCRfree	Druze	32	35	MIDDLE_EAST	M	44.17	0.00016	37	291.4	0.035386	NA
HGDP00598	HGDP00598.15775130	ERS474773	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	40.42	0.00873	21	425.6	0.050583	NA
HGDP00599	HGDP00599.15775142	ERS474774	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	37.99	0.00995	20	444.2	0.060182	NA
HGDP00600	HGDP00600.15775154	ERS474775	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	35.95	0.00898	20	441.6	0.055716	NA
HGDP00601	HGDP00601.15775166	ERS474776	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	37.44	0.00917	20	432.6	0.046378	NA
HGDP00602	HGDP00602.15775178	ERS474777	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	34.31	0.01447	20	420.7	0.081044	NA
HGDP00604	HGDP00604.15775095	ERS474778	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	M	32.84	0.01074	20	432.7	0.071574	NA
HGDP00606	HGDP00606.15775107	ERS474779	sanger	PCRfree	Druze	32	35	MIDDLE_EAST	F	36.19	0.00754	21	455.5	0.039274	NA
HGDP00607	HGDP00607.15775100	ERS474826	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	32.16	0.00811	21	435.4	0.057686	NA
HGDP00608	HGDP00608.11575288	ERS474827	sanger	PCR	Bedouin	31	35	MIDDLE_EAST	M	30.14	0.00138	29	465.4	0.064321	11318162
HGDP00609	HGDP00609.11575300	ERS474828	sanger	PCR	Bedouin	31	35	MIDDLE_EAST	M	35.94	0.00091	30	489.3	0.051851	11318163
HGDP00610	HGDP00610.11575312	ERS474829	sanger	PCR	Bedouin	31	35	MIDDLE_EAST	M	34.68	0.00249	26	486.4	0.04526	11318164
HGDP00611	HGDP00611.15775112	ERS474830	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	43.32	0.00869	21	436.8	0.049038	NA
HGDP00612	HGDP00612.15775124	ERS474831	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	33.53	0.00643	22	439.1	0.049255	NA
HGDP00613	HGDP00613.15775136	ERS474832	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	33.4	0.00911	20	438.2	0.05157	NA
HGDP00614	HGDP00614.15775148	ERS474833	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	35.69	0.0128	20	447.1	0.057043	NA
HGDP00615	HGDP00615.15947648	ERS1063307	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	27.53	0.00648	22	434.6	NA	NA
HGDP00616	HGDP00616.LP6005441-DNA_E02	ERS1042237	sgdp	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	43.49	0.00120	29	287.9	0.040846	NA
HGDP00618	HGDP00618.15775160	ERS474836	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	34.79	0.00977	20	454.5	0.067556	NA
HGDP00619	HGDP00619.15775172	ERS474837	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	37.08	0.01037	20	440.9	0.0533	NA
HGDP00620	HGDP00620.15775184	ERS474838	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	38.56	0.01428	20	426.4	0.090814	NA
HGDP00621	HGDP00621.15775101	ERS474839	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	34.66	0.00907	20	460.6	0.105209	NA
HGDP00622	HGDP00622.15775113	ERS474840	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	32.3	0.00698	22	428.7	0.05984	NA
HGDP00623	HGDP00623.15775125	ERS474841	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	35.33	0.00759	21	447.8	0.053852	NA
HGDP00624	HGDP00624.15775137	ERS474842	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	36.88	0.00884	21	444.7	0.058235	NA
HGDP00625	HGDP00625.15947689	ERS813223	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	39.19	0.00815	21	415	0.052057	NA
HGDP00626	HGDP00626.15775149	ERS474844	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	36.14	0.01107	20	438.9	0.062302	NA
HGDP00627	HGDP00627.15775161	ERS474845	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	35.24	0.01022	20	427.4	0.068321	NA
HGDP00628	HGDP00628.15947666	ERS1063302	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	38.08	0.00755	21	448.7	NA	NA
HGDP00629	HGDP00629.15775173	ERS474847	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	41.68	0.01319	20	426.5	0.068221	NA
HGDP00630	HGDP00630.15775185	ERS474848	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	47.2	0.01619	20	422.7	0.064961	NA
HGDP00631	HGDP00631.15947679	ERS1063413	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	M	35.27	0.00732	21	445.9	0.050704	NA
HGDP00632	HGDP00632.15775102	ERS474850	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	30.75	0.00754	21	429.9	0.060961	NA
HGDP00634	HGDP00634.15775114	ERS474851	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	31.61	0.00789	21	433	0.053596	NA
HGDP00635	HGDP00635.15775126	ERS474852	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	32.62	0.00969	20	455.7	0.054764	NA
HGDP00636	HGDP00636.15775138	ERS474853	sanger	PCRfree	Bedouin	31	35	MIDDLE_EAST	F	37.5	0.00722	21	433.8	0.049356	NA
